"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"11","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 7, 7, 225, 5, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4"
"11","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 7, 7, 225, 5, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","2.42"
"12","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<1, 1, 1, 1, 1, 1, 192, 1, 1, false, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)1, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.78"
"12","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<1, 1, 1, 1, 1, 1, 192, 1, 1, false, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)1, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","1.11"
"13","4501","trtexec","127.0.0.1","volta_sgemm_128x32_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","226.56"
"13","4501","trtexec","127.0.0.1","volta_sgemm_128x32_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","26.04"
"14","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.33"
"14","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.80"
"15","4501","trtexec","127.0.0.1","volta_sgemm_128x32_sliced1x4_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","112.54"
"15","4501","trtexec","127.0.0.1","volta_sgemm_128x32_sliced1x4_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","23.43"
"16","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.20"
"16","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.83"
"17","4501","trtexec","127.0.0.1","volta_sgemm_64x32_sliced1x4_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","37.18"
"17","4501","trtexec","127.0.0.1","volta_sgemm_64x32_sliced1x4_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","17.52"
"18","4501","trtexec","127.0.0.1","void splitKreduce_kernel<float, float, float, float, true, false>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, void*, long, float*, int*)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.90"
"18","4501","trtexec","127.0.0.1","void splitKreduce_kernel<float, float, float, float, true, false>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, void*, long, float*, int*)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.51"
"19","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.20"
"19","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.29"
"20","4501","trtexec","127.0.0.1","void implicit_convolve_sgemm<float, float, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","42.69"
"20","4501","trtexec","127.0.0.1","void implicit_convolve_sgemm<float, float, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","13.64"
